Age,attitude,Points,gender,deep,stra,surf
24,2.9,21,F,4.25,2.875,2.6666666666666665
20,2.4,20,F,3.5833333333333335,2.875,3
21,3.1,28,M,4,2.375,2.6666666666666665
20,1.9,12,F,3.3333333333333335,3.875,2.1666666666666665
20,2,21,F,3.5,2.125,2.6666666666666665
18,3.8,28,F,3.1666666666666665,4,2.25
21,3.4,31,F,3.5833333333333335,3.25,2.6666666666666665
19,3.7,18,F,3.4166666666666665,2.625,3.3333333333333335
21,2.9,25,F,4.25,2.75,3.5
20,2.3,19,F,3.25,4,2.75
21,4.1,21,M,4.416666666666667,3,2
20,2.7,16,F,3.25,3.375,2.8333333333333335
21,3.5,7,F,3.9166666666666665,3.875,3.5
20,3.4,21,F,3.5833333333333335,3.25,2.5
18,3.2,17,F,4.5,3.375,3.1666666666666665
22,3.3,22,M,3.5833333333333335,4.125,3.0833333333333335
22,3.3,18,F,3.6666666666666665,3.5,2.9166666666666665
24,3.5,25,M,2.5833333333333335,2,3.1666666666666665
19,3.2,24,F,4.166666666666667,3.625,2.5
20,3.1,23,F,3.25,3.375,3.8333333333333335
20,2.8,23,F,4.333333333333333,2.125,2.25
17,1.7,26,F,3.9166666666666665,4.625,3.4166666666666665
19,1.9,12,M,2.6666666666666665,2.5,3.75
20,3.5,32,F,3.0833333333333335,2.875,3
20,2.4,22,F,3.75,2.75,2.5833333333333335
20,2.1,20,F,4.166666666666667,4,3.3333333333333335
20,2.9,21,F,4.166666666666667,2.375,2.8333333333333335
19,1.9,23,F,3.25,3.875,3
19,2,20,F,4.083333333333333,3.375,2.8333333333333335
22,4.2,28,F,2.9166666666666665,1.75,3.1666666666666665
35,4.1,31,M,3.8333333333333335,3,2.75
18,3.7,18,F,3.1666666666666665,2.625,3.4166666666666665
19,3.6,30,F,3.4166666666666665,2.625,3
21,1.8,19,M,4.083333333333333,3.375,2.6666666666666665
